N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
,Neutral,WeakUp,Neutral,Neutral,Dry,VeryWet,Neutral,Neutral,PC,Cloudy,Cloudy,Cloudy,Weak,Weak,Westerly,,Weak,Weak,,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,May15_Jun14,I,CThruK,,Average,MoreThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,Moderate,,I,SIG,SIG,SIG,LowMtsHighPl,ModerateOrLe,Average,Steep,NoMajor,DryMMoistL,Other,LittleChange,Moving,AllElse,LVorOther,LV
Neutral,Down,Neutral,Down,Down,Wet,Neutral,,,Clear,Clear,Clear,Clear,,,Westerly,,Weak,,,LittleChange,LittleChange,,Decreasing,XNIL,May15_Jun14,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,B,Stifling,Unfavorable,,B,SIG,SIG,SIG,LowMtsHighPl,Steep,Average,ModerateOrLe,NoMajor,DryMMoistL,DenvCyclone,LittleChange,QStationary,SWQuad,LVorOther,DenvCyclone
Neutral,Neutral,StrongUp,WeakUp,WeakUp,Dry,Neutral,Wet,Neutral,Clear,PC,Clear,Clear,Strong,Strong,StrongWest,Strong,Weak,Strong,,LittleChange,LittleChange,StrongPos,Increasing,SVR,Jul16_Aug10,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Neutral,LessUnstable,Average,B,PartInhibit,Moderate,,B,XNIL,XNIL,SVR,LowEvrywhere,Stable,VeryMoist,ModerateOrLe,,DryMMoistL,,PosToNeg,Other,LV,Westerly,DenvCyclone
StrongUp,Neutral,WeakUp,WeakUp,WeakUp,Wet,Neutral,Wet,VeryWet,PC,Clear,PC,PC,Strong,Strong,Westerly,Strong,Strong,Strong,Marked,LittleChange,LittleChange,StrongPos,Increasing,SVR,May15_Jun14,K,CThruK,PartInhibit,Average,Average,K,LIGt0,Neutral,LessUnstable,MoreUnstable,ACEFK,PartInhibit,Strong,Moderate,K,XNIL,XNIL,SVR,LowSHighN,ModerateOrLe,,ModerateOrLe,StrongFront,DryMMoistL,MovingFtorOt,SigNegative,Moving,NWQuad,Westerly,
WeakUp,Neutral,Down,WeakUp,WeakUp,VeryWet,Neutral,,VeryWet,Clear,,Clear,Clear,,Weak,,Weak,,Weak,Some,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Aug20_Sep15,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Stability,Average,LessUnstable,D,,Weak,,D,SIG,SIG,SIG,HighEvrywher,CloseToDryAd,Average,Steep,StrongFront,Other,DenvCyclone,NegToPos,Other,AllElse,LVorOther,DenvCyclone
,Down,Neutral,Neutral,Neutral,Neutral,Neutral,,Wet,,PC,PC,PC,Weak,Strong,Other,,,,,DecCapIncIns,Decreasing,WeakPos,LittleChange,SIG,May15_Jun14,H,CThruK,PartInhibit,Average,LessThanAve,H,N1GtLIGt_4,Stability,Average,Average,HI,Stifling,Strong,Slight,H,XNIL,XNIL,SIG,LowMtsHighPl,ModerateOrLe,VeryMoist,Steep,MarkedUpper,DryMMoistL,Other,SigNegative,,LV,LVorOther,E_NE
WeakUp,StronUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cloudy,PC,PC,PC,,,Other,,Weak,Weak,,LittleChange,LittleChange,WeakPos,Increasing,XNIL,May15_Jun14,,CThruK,,LessThanAve,LessThanAve,K,,Instability,MoreUnstable,MoreUnstable,ACEFK,,Strong,,K,XNIL,SIG,,Other,Steep,Average,ModerateOrLe,StrongFront,Other,MovingFtorOt,PosToNeg,Moving,AllElse,Westerly,WidespdDnsl
Down,WeakUp,Neutral,Neutral,Neutral,,Dry,VeryWet,VeryWet,PC,PC,Clear,Clear,,Weak,StrongWest,Strong,Weak,Strong,,DecCapIncIns,Decreasing,WeakPos,Increasing,XNIL,May15_Jun14,A,,PartInhibit,,LessThanAve,ABI,LIGt0,Stability,LessUnstable,MoreUnstable,ACEFK,,Unfavorable,,A,SVR,SVR,SVR,HighEvrywher,Stable,Average,ModerateOrLe,StrongFront,,DenvCyclone,SigNegative,Other,SWQuad,LVorOther,
StrongUp,Neutral,Down,Neutral,Neutral,Wet,Dry,Dry,Dry,Clear,Cloudy,PC,PC,Strong,Strong,StrongWest,Strong,,Strong,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,SVR,Jul2_Jul15,K,CThruK,Stifling,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Weak,Slight,K,SVR,SVR,,HighEvrywher,ModerateOrLe,Average,Steep,,DryMMoistL,MovingFtorOt,,Other,AllElse,LVorOther,WidespdDnsl
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Neutral,Wet,Wet,Cloudy,Clear,Cloudy,PC,Strong,Strong,StrongWest,Strong,Strong,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Aug20_Sep15,C,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,Stifling,Weak,,C,XNIL,XNIL,XNIL,LowAtStation,Steep,Dry,ModerateOrLe,MarkedUpper,MoistMDryL,E_W_N,LittleChange,,SWQuad,Westerly,LongAnticyc
WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Neutral,,Wet,Clear,PC,Clear,Clear,,,StrongWest,,,,,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,,B,AB,,LessThanAve,LessThanAve,ABI,LILt_8,Stability,Average,MoreUnstable,B,,Moderate,Moderate,B,SVR,SVR,SVR,HighEvrywher,Steep,VeryMoist,Steep,NoMajor,DryMMoistL,DenvCyclone,SigNegative,QStationary,SWQuad,LVorOther,DenvCyclone
WeakUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Neutral,,Neutral,PC,Clear,Clear,Clear,,Weak,DCVZFavor,Weak,Weak,Strong,Some,DecCapIncIns,Decreasing,Neutral,Decreasing,XNIL,Jul2_Jul15,E,CThruK,TotalInhibit,Average,LessThanAve,,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Moderate,Moderate,E,XNIL,XNIL,XNIL,HighEvrywher,CloseToDryAd,Average,ModerateOrLe,NoMajor,MoistMDryL,,NegToPos,,SWQuad,Westerly,LV
WeakUp,Neutral,Down,Down,Down,VeryWet,Dry,VeryWet,Wet,PC,Cloudy,PC,PC,Strong,Strong,Westerly,Strong,,Strong,Marked,IncCapDecIns,Increasing,Neutral,Increasing,SVR,Aug20_Sep15,C,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,,Moderate,Strong,C,SIG,SIG,SVR,LowEvrywhere,Steep,Average,ModerateOrLe,OtherRapid,MoistMDryL,E_W_N,NegToPos,,NWQuad,LVorOther,WidespdDnsl
Neutral,Neutral,WeakUp,Neutral,Neutral,Dry,Wet,Neutral,Neutral,Clear,PC,Clear,Clear,Strong,Strong,DCVZFavor,Weak,Weak,Weak,Marked,IncCapDecIns,,Neutral,LittleChange,XNIL,May15_Jun14,K,CThruK,Stifling,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,,Moderate,Strong,K,XNIL,XNIL,XNIL,LowAtStation,Steep,Dry,ModerateOrLe,StrongFront,Other,MovingFtorOt,SigPositive,Moving,,Westerly,SEQuad
Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,VeryWet,VeryWet,PC,Clear,PC,PC,,,Westerly,,,,,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Jul16_Aug10,B,AB,Stifling,Average,MoreThanAve,ABI,,Stability,LessUnstable,LessUnstable,B,,Strong,Strong,B,XNIL,XNIL,,,Stable,Dry,CloseToDryAd,OtherRapid,Other,,LittleChange,Other,NWQuad,LVorOther,E_NE
StrongUp,Neutral,StrongUp,StrongUp,StrongUp,Wet,VeryWet,VeryWet,VeryWet,,,PC,PC,,Weak,DCVZFavor,,Strong,,Some,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,May15_Jun14,A,AB,Stifling,Average,Average,ABI,,Neutral,Average,LessUnstable,ACEFK,Stifling,Strong,Moderate,A,,XNIL,XNIL,LowMtsHighPl,ModerateOrLe,Dry,Steep,MarkedUpper,DryMMoistL,DenvCyclone,PosToNeg,Other,SWQuad,Westerly,DenvCyclone
WeakUp,Down,WeakUp,Neutral,Neutral,Wet,Neutral,Dry,Dry,Clear,Clear,Clear,Clear,,Weak,Westerly,Weak,Weak,,,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Aug20_Sep15,B,AB,,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Stability,Average,LessUnstable,B,PartInhibit,Moderate,Moderate,B,XNIL,XNIL,XNIL,LowMtsHighPl,Stable,VeryMoist,CloseToDryAd,NoMajor,DryMMoistL,MovingFtorOt,LittleChange,Other,SWQuad,,LV
WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Dry,Dry,Clear,Clear,Clear,Clear,,,Other,,Weak,Weak,,LittleChange,LittleChange,Neutral,Decreasing,XNIL,Jul2_Jul15,C,CThruK,Stifling,Average,Average,CDEJ,LIGt0,Instability,,LessUnstable,ACEFK,PartInhibit,Unfavorable,,C,XNIL,XNIL,XNIL,LowAtStation,CloseToDryAd,Average,Steep,MarkedUpper,MoistMDryL,E_W_N,SigPositive,Other,AllElse,Westerly,LongAnticyc
Neutral,Neutral,StrongUp,Neutral,Neutral,Dry,Dry,Dry,Dry,Clear,Clear,Clear,Clear,,,DCVZFavor,,Strong,Strong,,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Jul2_Jul15,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Neutral,,MoreUnstable,ACEFK,PartInhibit,Moderate,Slight,,SIG,SIG,SIG,LowMtsHighPl,ModerateOrLe,Dry,ModerateOrLe,NoMajor,Other,,LittleChange,,LV,Westerly,WidespdDnsl
Neutral,StronUp,Down,Down,Down,,Dry,Dry,Dry,Clear,,Clear,Clear,,,Other,,,Weak,,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,May15_Jun14,I,CThruK,PartInhibit,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,Stability,Average,Average,HI,PartInhibit,Moderate,Slight,I,SVR,SVR,SVR,LowSHighN,ModerateOrLe,Average,CloseToDryAd,MarkedUpper,DryMMoistL,DryLine,LittleChange,QStationary,NWQuad,LVorOther,
Down,Down,Neutral,Down,Down,Dry,Neutral,VeryWet,Wet,,Cloudy,Cloudy,Cloudy,Strong,Strong,Westerly,Strong,Strong,Weak,Marked,IncCapDecIns,Increasing,,Increasing,SIG,Jun15_Jul1,I,CThruK,PartInhibit,Average,Average,ABI,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,Moderate,Moderate,I,SVR,XNIL,SIG,LowSHighN,CloseToDryAd,Average,CloseToDryAd,OtherRapid,DryMMoistL,E_W_S,SigNegative,Moving,SWQuad,Westerly,
Down,StronUp,StrongUp,StrongUp,StrongUp,Neutral,Neutral,Neutral,Neutral,Clear,PC,Clear,PC,Strong,Strong,DCVZFavor,Strong,,Weak,Marked,LittleChange,LittleChange,WeakPos,Increasing,SVR,Aug20_Sep15,B,AB,,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,Average,MoreUnstable,B,,,,B,XNIL,XNIL,SVR,HighEvrywher,Steep,Average,Steep,NoMajor,DryMMoistL,DenvCyclone,,QStationary,NWQuad,Westerly,DenvCyclone
Down,Down,StrongUp,Down,Down,Wet,Neutral,Wet,Dry,Cloudy,PC,Cloudy,Clear,,Weak,StrongWest,Strong,Weak,Strong,Some,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,Aug20_Sep15,I,,,,MoreThanAve,ABI,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,HI,,Moderate,Strong,,SVR,SVR,SVR,LowMtsHighPl,Steep,Average,CloseToDryAd,OtherRapid,DryMMoistL,E_W_S,PosToNeg,QStationary,SWQuad,Westerly,E_NE
Down,WeakUp,Neutral,WeakUp,WeakUp,Wet,Wet,VeryWet,VeryWet,PC,Cloudy,Cloudy,Cloudy,,,Westerly,,Weak,,,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Aug20_Sep15,A,AB,,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Unfavorable,Slight,A,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,Dry,Steep,MarkedUpper,Other,DenvCyclone,SigNegative,Other,SWQuad,Westerly,DenvCyclone
Neutral,WeakUp,WeakUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,PC,Cloudy,,PC,,Weak,Other,,Strong,Weak,,DecCapIncIns,Decreasing,WeakPos,LittleChange,SIG,Aug20_Sep15,K,CThruK,Stifling,Average,LessThanAve,K,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,,Moderate,Strong,K,SVR,SVR,SVR,Other,ModerateOrLe,Average,ModerateOrLe,StrongFront,Other,,PosToNeg,,NWQuad,,WidespdDnsl
Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Clear,PC,PC,PC,Weak,Weak,DCVZFavor,Weak,Weak,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul16_Aug10,J,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,,GJ,,Weak,,J,SVR,SVR,SVR,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,,LV,LVorOther,SEQuad
WeakUp,,Neutral,WeakUp,WeakUp,Dry,Dry,Wet,VeryWet,Clear,PC,Clear,PC,Strong,Strong,Other,,Strong,Strong,,DecCapIncIns,Decreasing,Neutral,Decreasing,SIG,Jul16_Aug10,D,CThruK,Stifling,Average,LessThanAve,CDEJ,N1GtLIGt_4,,Average,LessUnstable,D,PartInhibit,Moderate,Moderate,D,XNIL,XNIL,SIG,LowAtStation,Stable,Dry,Steep,OtherRapid,Other,DryLine,SigNegative,Other,LV,LVorOther,WidespdDnsl
WeakUp,StronUp,Neutral,WeakUp,WeakUp,Neutral,VeryWet,Dry,Dry,PC,PC,PC,,Weak,Weak,Other,,Weak,Weak,,DecCapIncIns,Decreasing,WeakPos,Increasing,XNIL,May15_Jun14,A,AB,Stifling,Average,LessThanAve,ABI,N5GtLIGt_8,Neutral,Average,Average,ACEFK,,Strong,Strong,A,SIG,SIG,SIG,HighEvrywher,ModerateOrLe,Average,Steep,MarkedUpper,DryMMoistL,DenvCyclone,PosToNeg,Other,SWQuad,Westerly,DenvCyclone
Down,Neutral,Neutral,Neutral,Neutral,Wet,Dry,Neutral,Wet,PC,Cloudy,PC,Clear,Strong,Strong,StrongWest,,,Strong,Marked,LittleChange,LittleChange,Neutral,Increasing,SVR,Jun15_Jul1,B,AB,,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Neutral,Average,MoreUnstable,,PartInhibit,Moderate,Strong,B,SIG,SIG,SVR,LowSHighN,Stable,Average,Steep,NoMajor,DryMMoistL,DryLine,LittleChange,,,Westerly,DenvCyclone
WeakUp,StronUp,Down,Down,Down,Wet,Neutral,Neutral,Neutral,Cloudy,PC,Clear,Clear,Strong,Strong,Other,Weak,,,Some,IncCapDecIns,Increasing,Neutral,Increasing,SVR,Jul16_Aug10,C,,PartInhibit,LessThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,Average,MoreUnstable,ACEFK,,Weak,Strong,C,SIG,SIG,SVR,LowMtsHighPl,CloseToDryAd,Average,Steep,MarkedUpper,Other,E_W_N,SigPositive,Other,NWQuad,Westerly,LongAnticyc
,,Neutral,Neutral,Neutral,Wet,Wet,Wet,Wet,Clear,PC,Clear,Clear,Weak,Strong,Westerly,Weak,,,Some,DecCapIncIns,Decreasing,Neutral,LittleChange,SVR,May15_Jun14,J,CThruK,,LessThanAve,LessThanAve,CDEJ,,Instability,MoreUnstable,,GJ,,Unfavorable,Slight,,XNIL,XNIL,SVR,LowMtsHighPl,Steep,Average,CloseToDryAd,NoMajor,MoistMDryL,Other,LittleChange,Other,LV,LVorOther,LV
Down,Neutral,Down,Neutral,Neutral,Neutral,Dry,Dry,Dry,PC,Cloudy,PC,Clear,Strong,Strong,DCVZFavor,,Weak,Strong,Marked,IncCapDecIns,Increasing,Negative,Increasing,SVR,May15_Jun14,D,CThruK,,LessThanAve,Average,CDEJ,N1GtLIGt_4,Instability,Average,Average,D,TotalInhibit,Moderate,Slight,D,SIG,SIG,SVR,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,Other,DryLine,LittleChange,Moving,NWQuad,Westerly,LV
Neutral,Neutral,StrongUp,WeakUp,WeakUp,Dry,VeryWet,Dry,Dry,Clear,Cloudy,PC,PC,,Weak,DCVZFavor,Weak,,Weak,Some,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Aug20_Sep15,D,,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,Average,LessUnstable,D,Stifling,Moderate,,D,XNIL,XNIL,SIG,LowSHighN,CloseToDryAd,VeryMoist,CloseToDryAd,MarkedUpper,MoistMDryL,DryLine,SigPositive,Other,SWQuad,LVorOther,DenvCyclone
Down,Down,Neutral,Neutral,Neutral,Wet,Wet,Neutral,Neutral,PC,PC,PC,PC,Strong,Strong,DCVZFavor,Strong,,Strong,Some,LittleChange,LittleChange,Neutral,Decreasing,,Aug20_Sep15,A,AB,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,,Strong,Moderate,A,XNIL,SVR,SVR,HighEvrywher,Stable,,Steep,StrongFront,Other,DenvCyclone,PosToNeg,Other,SWQuad,LVorOther,DenvCyclone
Down,WeakUp,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Clear,PC,,Strong,Strong,Westerly,Weak,Strong,Strong,Some,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,May15_Jun14,E,CThruK,,LessThanAve,Average,CDEJ,N1GtLIGt_4,Neutral,Average,Average,ACEFK,,Unfavorable,,E,XNIL,XNIL,SIG,LowAtStation,Steep,Dry,ModerateOrLe,NoMajor,MoistMDryL,,LittleChange,,SWQuad,Westerly,
WeakUp,Down,Neutral,Down,Down,Neutral,Dry,Wet,Wet,Clear,PC,Clear,Clear,Weak,Strong,DCVZFavor,Weak,Strong,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jul16_Aug10,,CThruK,Stifling,Average,Average,CDEJ,LIGt0,Stability,,Average,ACEFK,Stifling,Strong,,C,XNIL,XNIL,XNIL,,Steep,Average,Steep,NoMajor,,E_W_N,SigPositive,,NWQuad,Westerly,LongAnticyc
Down,Neutral,Neutral,Down,Down,Dry,Dry,Dry,Dry,PC,PC,,Cloudy,Weak,Weak,StrongWest,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,E,CThruK,PartInhibit,LessThanAve,Average,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,Moderate,E,XNIL,XNIL,SIG,Other,Steep,Dry,Steep,OtherRapid,MoistMDryL,E_W_N,SigNegative,,AllElse,LVorOther,LongAnticyc
WeakUp,Neutral,StrongUp,WeakUp,WeakUp,,VeryWet,Wet,VeryWet,PC,Clear,PC,PC,,,Other,,Weak,Weak,,LittleChange,LittleChange,Negative,Decreasing,XNIL,Aug20_Sep15,J,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,Average,GJ,,Weak,Strong,J,SVR,SVR,SVR,LowMtsHighPl,Steep,Average,Steep,NoMajor,Other,DryLine,LittleChange,,LV,LVorOther,LV
StrongUp,StronUp,WeakUp,StrongUp,StrongUp,VeryWet,Dry,VeryWet,VeryWet,PC,PC,Cloudy,Cloudy,Strong,Strong,DCVZFavor,Strong,,Strong,Marked,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul2_Jul15,G,CThruK,PartInhibit,Average,MoreThanAve,G,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,GJ,,Moderate,Moderate,G,SIG,SIG,,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,,PosToNeg,,AllElse,Westerly,
